,artist_name,artist_id,track_name,track_id,popularity,artist_popularity,genres,followers,danceability,energy,loudness,instrumentalness,valence,tempo,is_edm
37,Jimin,1oSPZhvZMIrWW5I41kPkkY,Like Crazy,3Ua0m0YmEjrMi9XErKcNiR,93,82,['k-pop'],6644898,0.629,0.733,-5.445,0.0,0.362,120.001,not_edm
38,Drake,3TVXtAsR1Inumwj472S9r4,Search & Rescue,7aRCf5cLOFN1U7kvtChY1G,85,95,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",80505877,0.817,0.44,-8.482,1.42e-06,0.544,142.024,not_edm
39,Yng Lvcas,1NNRWkhwmcXRimFYSBpB1y,La Bebe - Remix,2UW7JaomAMuX9pZrjVpHAU,93,74,['reggaeton'],220236,0.812,0.479,-5.678,1.21e-06,0.559,169.922,not_edm
40,PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,Boy's a Liar Pt. 2,6AQbmUe0Qwf5PZnt4HmTXv,89,77,['bedroom pop'],2437749,0.696,0.809,-8.254,0.000128,0.857,132.962,not_edm
41,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,Dial Drunk (with Post Malone),22VHOlVYBqytsrAqV8yXBK,85,82,"['pov: indie', 'singer-songwriter pop']",1313751,0.667,0.613,-7.147,0.0,0.681,112.046,not_edm
42,Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2,Strangers,5mjYQaktjmjcMKcUIcqz4s,94,75,['singer-songwriter pop'],271346,0.628,0.523,-8.307,0.00274,0.416,169.982,not_edm
43,Bad Bunny,4q3ewBCX7sLwd24euuV69X,WHERE SHE GOES,7ro0hRteUMfnOioTFI5TG1,93,94,"['reggaeton', 'trap latino', 'urbano latino']",74851281,0.652,0.8,-4.019,0.629,0.234,143.978,not_edm
44,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2,Dawns (feat. Maggie Rogers),42TtHTxWk782ZBiqyOi2d1,83,89,"['classic oklahoma country', 'modern country pop']",2262988,0.447,0.441,-7.658,4.36e-05,0.286,122.811,not_edm
45,NewJeans,6HvZYsbFfjnjFrWF950C9d,Super Shy,5sdQOyqq2IDhvmx2lHOpwd,92,83,"['k-pop', 'k-pop girl group']",5478120,0.776,0.817,-6.018,3.44e-05,0.515,149.921,not_edm
46,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,SABOR FRESA,1UMm1Qs3u59Wvk53zBUE8r,91,86,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",5014307,0.785,0.863,-4.599,0.0,0.962,130.132,not_edm
