,artist_name,artist_id,track_name,track_id,popularity,artist_popularity,genres,followers
575,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Popular - Music from the HBO Original Series,22x8qhtiGTx7xU6mz1T2aE,6,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
576,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Blinding Lights,6BdStXIdYMmEJed1zJUHkr,3,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
577,Lumi Athena,1TTHC3GlNDaE5eVoC3BVxm,LET ME SEE YA MOVE!,5z6IuFSIc3OrZGDC2Q9icP,78,70,"['sigilkore', 'sped up']",579701
578,blink-182,6FBDaR13swtiWwGhX1WQsP,ANTHEM PART 3,2kjH4Q6WxvlpGnlgwmv4eG,77,79,"['alternative metal', 'modern rock', 'pop punk', 'punk', 'rock', 'socal pop punk']",7885839
579,Lil Baby,5f7VJjfbwm532GiveGC0ZK,Go Hard,1IzJxbARcQrOWMZgPw1PNj,74,84,"['atl hip hop', 'atl trap', 'rap', 'trap']",15746585
580,Victoria Monét,63XBtGSEZINSyXylZxEUbv,On My Mama,1o8Z7GD1CeOaVBEyuzu4HO,75,68,['alternative r&b'],823017
581,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Heartbroken - Jessie Version,60bbiP93CSxmLibuwvxay9,73,75,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop dance']",2576969
582,Luca Mele,4IDzZiQ5eLD1HpsLtKqkXQ,New Fam 2,2AOZQpJdjv5FRM2bHBsVD5,70,47,[],20030
583,Junior H,7Gi6gjaWy3DxyilpF1a8Is,LA CHERRY,2a8yglXvNw07OWu4lO2ByG,80,88,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",11256061
584,Tito Double P,5eumcnUkdmGvkvcsx1WFNG,LA 701,62vhlXTC4rrb13dVUlyYpO,82,71,['corrido'],144604
585,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Call Out My Name,4XqczOAx1WqTRsuRwcMzsR,3,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
586,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Call Out My Name,2QTKo9cLPNo9nOGy9lOrh5,0,92,"['canadian contemporary r&b', 'canadian pop', 'pop']",73996091
