,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,key,mode,type
89,0.455,0.379,-7.628,0.0341,0.803,0,0.109,0.413,76.967,6QT6j7rKt7Vk3IuV2AUO9W,177212,4,3.0,1.0,audio_features
90,0.77,0.622,-10.621,0.026,0.328,0.00603,0.149,0.792,115.952,3HOKxuTDmNVmIlCIpBiD8m,231247,3,11.0,1.0,audio_features
91,0.589,0.674,-7.48,0.0656,0.0436,7.18e-05,0.112,0.514,139.985,27exgla7YBw9DUNNcTIpjy,220433,4,8.0,1.0,audio_features
92,0.582,0.788,-5.358,0.0445,0.0999,0,0.115,0.652,160.027,1ULabO0PEsdJekqVH6G10G,195700,4,0.0,1.0,audio_features
93,0.636,0.808,-5.693,0.0729,0.0121,2.18e-05,0.359,0.917,160.058,50yNTF0Od55qnHLxYsA5Pw,219209,4,7.0,1.0,audio_features
94,0.758,0.691,-5.798,0.0515,0.00196,1.09e-05,0.0939,0.538,119.997,733OhaXQIHY7BKtY3vnSkn,247533,4,5.0,1.0,audio_features
95,0.464,0.705,-5.97,0.0434,0.00976,2.61e-05,0.209,0.385,183.892,6HRsJu8vcnzYDN4t0570FY,245567,4,3.0,1.0,audio_features
96,0.363,0.498,-9.473,0.0755,0.61,3.91e-06,0.112,0.477,84.68,0TyGh27YQ5LknmiDhCzJiT,267389,4,9.0,1.0,audio_features
97,0.855,0.678,-6.276,0.189,0.0569,3.69e-05,0.412,0.852,99.029,6WzRpISELf3YglGAh7TXcG,215467,4,1.0,1.0,audio_features
98,0.618,0.683,-6.438,0.194,0.0362,0,0.305,0.363,169.971,7oZONwFiFIErZcXAtTu7FY,211104,4,7.0,1.0,audio_features
99,0.841,0.738,-7.455,0.307,0.52,0,0.0892,0.484,169.918,5RqSsdzTNPX1uzkmlHCFvK,172798,4,7.0,0.0,audio_features
100,0.471,0.509,-8.796,0.0355,0.316,0,0.0673,0.0567,144.071,4WBEj8TeGtRPNJdOmT3WJW,250100,4,1.0,0.0,audio_features
101,0.868,0.407,-7.735,0.295,0.0479,0.000111,0.139,0.255,107.524,6ZprqcYFC6D9eIZaCoqrSn,133694,4,10.0,1.0,audio_features
102,0.624,0.766,-3.805,0.0359,0.199,8.62e-06,0.156,0.37,172.08,7fveJ3pk1eSfxBdVkzdXZ0,181621,4,8.0,1.0,audio_features
103,0.557,0.866,-4.454,0.0503,0.394,0,0.11,0.631,167.767,7bPp2NmpmyhLJ7zWazAXMu,209415,4,6.0,1.0,audio_features
104,0.668,0.758,-5.176,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,3dnP0JxCgygwQH9Gm7q7nb,165671,3,5.0,0.0,audio_features
105,0.582,0.568,-7.3,0.0275,0.577,0,0.105,0.394,121.991,1TE8AAk9koG0UJco6ZAUfx,207541,3,1.0,1.0,audio_features
106,0.776,0.817,-6.018,0.0748,0.18,3.44e-05,0.146,0.515,149.921,5sdQOyqq2IDhvmx2lHOpwd,154667,4,5.0,0.0,audio_features
107,0.801,0.645,-5.605,0.0706,0.604,0,0.118,0.528,119.935,4qSEvFGCpde73gqIuq3sho,208000,4,6.0,0.0,audio_features
108,0.408,0.607,-7.463,0.0391,0.236,8.02e-05,0.0972,0.169,144.136,00syWkRGIVQvYsg2OwfBUw,209320,4,10.0,1.0,audio_features
109,0.728,0.589,-7.115,0.0376,0.424,7.78e-06,0.166,0.767,77.475,6RcAHyC5sAUIbPTkhOQwd8,179013,4,7.0,1.0,audio_features
110,0.551,0.677,-7.311,0.0665,0.0173,0,0.381,0.195,106.414,1JgknGBbrfmEHeOZH051SS,119120,4,2.0,1.0,audio_features
111,0.579,0.63,-7.758,0.058,0.257,0.00462,0.0986,0.552,155.96,5h1BN75CEh8wdSwE1xrbSe,187027,4,8.0,1.0,audio_features
112,0.571,0.55,-6.567,0.106,0.0548,0,0.179,0.104,120.947,2nibvvDdAQkVraYP00z2RS,285630,4,0.0,1.0,audio_features
113,0.805,0.612,-5.682,0.172,0.188,1.96e-05,0.134,0.425,126.013,1ODFVLQszq0hCOdZtqV5wq,189259,4,8.0,0.0,audio_features
114,0.62,0.706,-4.176,0.0251,0.0755,7.78e-06,0.185,0.591,81.989,72kGuWpRiuA149Bn5lDkIO,188483,4,3.0,1.0,audio_features
115,0.566,0.564,-7.88,0.277,0.0149,0,0.104,0.0667,139.92,4ZT0wGKwlJRjpMUuwZVy3p,164143,4,10.0,0.0,audio_features
116,0.537,0.413,-7.736,0.0319,0.346,0,0.12,0.226,133.21,5CscrLqFBgPfZR8fGtikov,198867,4,7.0,1.0,audio_features
117,0.52,0.831,-3.432,0.0968,0.00261,0,0.156,0.677,160.035,26QLJMK8G0M06sk7h7Fkse,154517,4,9.0,1.0,audio_features
118,0.785,0.863,-4.599,0.0893,0.0883,0,0.0929,0.962,130.132,1UMm1Qs3u59Wvk53zBUE8r,156501,3,7.0,0.0,audio_features
119,0.538,0.669,-4.97,0.0518,0.00437,1.03e-05,0.43,0.0389,141.659,2c7sRekhMGlj7u1WIIzoQu,150402,4,1.0,1.0,audio_features
120,0.758,0.703,-5.979,0.172,0.252,0,0.146,0.465,94.985,0rKWJnmo6Q0ovoPOLoLm0t,203939,4,10.0,0.0,audio_features
121,0.385,0.873,-3.331,0.069,0.0557,0,0.353,0.469,120.393,5sp71CUt0jXRNqHblPGp7b,203369,4,1.0,1.0,audio_features
122,0.776,0.701,-5.223,0.0254,0.513,0,0.0902,0.603,112.032,3wlIAXSDtlD9iU8ysld06Z,265045,3,9.0,1.0,audio_features
123,0.866,0.63,-4.816,0.0616,0.504,0.000505,0.328,0.359,117.924,3NhstUmrlhaN1M6hP8zMbb,240774,4,10.0,0.0,audio_features
124,0.704,0.905,-4.948,0.338,0.371,2.09e-06,0.107,0.0991,151.823,4Jc7252S1P99DjQ1lNGEOc,191960,4,6.0,0.0,audio_features
125,0.353,0.77,-11.066,0.0493,0.0016,0.598,0.109,0.224,145.225,7MSWxMumjz6lHj7oRApNbg,267893,4,1.0,0.0,audio_features
126,0.544,0.496,-12.032,0.21,0.13,0,0.166,0.314,103.148,3kfhS2L56Wj8fBcu7xE47H,203442,5,0.0,1.0,audio_features
127,0.633,0.643,-8.122,0.0252,0.106,0.00831,0.78,0.472,103.842,43MifzVnh8W3jJN0xqU9jR,130385,4,0.0,1.0,audio_features
128,0.773,0.635,-5.06,0.0452,0.0585,0,0.132,0.476,121.879,2Gk6fi0dqt91NKvlzGsmm7,173253,4,10.0,1.0,audio_features
129,0.694,0.764,-4.893,0.0337,0.0586,0,0.0608,0.819,123.044,5kHMfzgLZP95O9NBy0ku4v,273186,4,6.0,1.0,audio_features
130,0.49,0.352,-11.577,0.0254,0.709,0.0856,0.114,0.166,99.992,6GGtHZgBycCgGBUhZo81xe,209156,4,6.0,0.0,audio_features
131,0.629,0.733,-5.445,0.0419,0.0025,0,0.357,0.362,120.001,58BWnoFDNaeM0vwA0K3fqb,212241,4,7.0,1.0,audio_features
132,0.499,0.246,-8.082,0.0345,0.853,0,0.1,0.153,81.051,53dtP2iUMvaF28JZcHnFuU,231907,4,7.0,1.0,audio_features
133,0.571,0.458,-9.283,0.0258,0.544,9.27e-05,0.123,0.299,132.025,5LrN7yUQAzvthd4QujgPFr,242485,4,4.0,1.0,audio_features
134,0.567,0.682,-6.423,0.274,0.643,0,0.512,0.668,79.043,0w3Mfe4PIVjuFjJbe3OlYv,266848,4,4.0,1.0,audio_features
135,0.455,0.621,-7.694,0.0517,0.651,2.59e-06,0.123,0.28,119.043,4kjI1gwQZRKNDkw1nI475M,251250,4,0.0,0.0,audio_features
136,0.786,0.853,-4.955,0.0589,0.273,0,0.106,0.963,125.107,368eeEO3Y2uZUQ6S5oIjcu,157252,3,5.0,0.0,audio_features
137,0.859,0.658,-4.79,0.159,0.145,0,0.12,0.672,100.065,6XSqqQIy7Lm7SnwxS4NrGx,195987,4,11.0,1.0,audio_features
138,0.483,0.408,-9.243,0.0502,0.508,0,0.259,0.105,88.88,0AYt6NMyyLd0rLuvr0UkMH,310491,3,5.0,0.0,audio_features
139,0.581,0.325,-9.238,0.22,0.0128,0,0.16,0.0666,136.934,53KaP77tkliz36LPxWGlWK,155154,4,10.0,1.0,audio_features
140,0.505,0.532,-3.526,0.0265,0.012,0,0.149,0.216,81.907,3sW3oSbzsfecv9XoUdGs7h,353253,4,8.0,1.0,audio_features
141,0.65,0.689,-3.543,0.0449,0.0878,0,0.172,0.294,136.03,2kE2HFBFkJ0VMw3igxYohz,142520,4,0.0,1.0,audio_features
142,0.706,0.691,-4.775,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048,7DSAEUvxU8FajXtRloy8M0,200600,4,0.0,1.0,audio_features
143,0.722,0.785,-5.451,0.0763,0.0942,0,0.119,0.529,122.986,6rjuKpPydT2SxN15TZpV7r,144390,4,7.0,0.0,audio_features
144,0.642,0.706,-6.872,0.052,0.518,0,0.25,0.896,136.851,0JmnkIqdlnUzPaf8sqBRs3,187723,4,7.0,0.0,audio_features
145,0.747,0.629,-8.509,0.0363,0.328,0.00409,0.154,0.793,127.819,3RA55zrRkyPK8Fd86hrMy8,163552,3,9.0,0.0,audio_features
146,0.739,0.536,-10.843,0.308,0.231,0,0.35,0.64,82.549,7icwQvajsokotDfM3tefW6,154120,4,1.0,1.0,audio_features
147,0.53,0.678,-6.16,0.0278,0.506,6.23e-06,0.138,0.508,140.05,3Qu3Zh4WTKhP9GEXo0aDnb,215572,4,6.0,1.0,audio_features
148,0.477,0.565,-8.3,0.0334,0.000195,0.0011,0.193,0.0399,151.928,0NaUT74rJ0NHS62fewzatU,126600,4,1.0,1.0,audio_features
149,0.59,0.36,-9.643,0.0301,0.599,0,0.112,0.379,169.909,4nHJcUtNSUVjXRnjdP29Bk,286369,4,7.0,1.0,audio_features
150,0.629,0.654,-7.852,0.0584,0.0878,0.00655,0.22,0.799,93.034,5Eh1nj7IjV9lwpcKAkidyY,181482,4,11.0,0.0,audio_features
151,0.842,0.756,-7.409,0.338,0.525,2.21e-06,0.0871,0.421,169.925,3XB5uhhlYSnkxpSihkNQwh,172798,4,7.0,0.0,audio_features
152,0.832,0.555,-7.766,0.116,0.0506,0,0.213,0.473,95.618,1DAibqbopEYULPEtE8WHTE,182998,4,10.0,0.0,audio_features
153,0.619,0.619,-6.238,0.491,0.407,0,0.0932,0.393,125.752,01ppKlDRCmPpusO3yNrSRY,354784,4,2.0,1.0,audio_features
154,0.693,0.595,-7.578,0.0311,0.0969,0,0.113,0.646,112.02,0caJ2wkqp4UmXBwdR2JvB5,213817,4,8.0,1.0,audio_features
155,0.662,0.77,-4.887,0.0367,0.0875,0,0.35,0.769,132.057,103u49mLoJUge83B1CnLxI,167535,4,0.0,1.0,audio_features
156,0.686,0.897,-7.18,0.0386,0.0103,0.103,0.153,0.355,129.975,0FA4wrjDJvJTTU8AepZTup,163139,4,11.0,0.0,audio_features
157,0.664,0.405,-7.413,0.08,0.877,0.000765,0.11,0.743,81.89,1Ukxccao1BlWrPhYkcXbwZ,169573,3,1.0,1.0,audio_features
158,0.916,0.583,-8.067,0.241,0.186,0,0.0798,0.661,141.095,2FDTHlrBguDzQkp7PVj16Q,226383,4,1.0,1.0,audio_features
159,0.706,0.566,-6.441,0.126,0.268,1.02e-06,0.111,0.23,125.876,1YnChEM51BVZ5dRhbVFEMl,190476,4,6.0,0.0,audio_features
160,0.854,0.668,-7.848,0.0466,0.264,5.61e-05,0.117,0.805,132.966,5AqiaZwhmC6dIbgWrD5SzV,187660,3,5.0,0.0,audio_features
161,0.529,0.711,-5.016,0.0669,0.572,0,0.0799,0.582,170.305,23d8v6tU6lR77pFKsApMtF,379059,4,11.0,0.0,audio_features
162,0.576,0.683,-5.103,0.118,0.41,0,0.0819,0.433,151.566,1vhbThkFnqAHbZp0fEjXE4,214056,4,7.0,1.0,audio_features
163,0.523,0.636,-5.813,0.0582,0.0541,2.63e-06,0.0716,0.155,128.785,0GMiRrUnQuoGddKMsxGPIZ,171427,4,7.0,1.0,audio_features
164,0.616,0.834,-3.069,0.0664,0.06,0,0.338,0.746,151.701,0O3U5iwTbiXCREMkvotJuN,165848,4,9.0,1.0,audio_features
165,0.641,0.803,-5.781,0.0286,0.00232,3.86e-06,0.361,0.671,121.086,2YVlDlk2zRceefo6XlC6DX,158004,4,6.0,0.0,audio_features
166,0.92,0.696,-3.356,0.0742,0.183,0,0.149,0.545,106.966,505v13epFXodT9fVAJ6h8k,170480,4,6.0,0.0,audio_features
167,0.758,0.816,-7.284,0.0406,0.136,3.64e-06,0.326,0.915,139.959,0xGZjxYqcNQ8WqxyeZ4eSN,238447,3,5.0,1.0,audio_features
168,0.64,0.609,-7.714,0.304,0.492,2.47e-06,0.152,0.393,131.889,4daEMLSZCgZ2Mt7gNm2SRa,192727,4,1.0,0.0,audio_features
169,0.85,0.699,-3.292,0.0776,0.152,0,0.32,0.915,114.481,0cVyQfDyRnMJ0V3rjjdlU3,114234,4,0.0,1.0,audio_features
170,0.652,0.8,-4.019,0.0614,0.143,0.629,0.112,0.234,143.978,7ro0hRteUMfnOioTFI5TG1,231704,4,9.0,0.0,audio_features
